date	exp	fill_lvl
15/11	12.5	25
17/11	15.0	25
20/11	14.2	25
3/12	14.2	25
5/12	14.2	25
7/12	13.3	25
9/12	15.0	25
15/11	12.5	20
17/11	15.0	20
20/11	14.2	20
3/12	14.2	20
5/12	14.2	20
7/12	13.3	20
9/12	15.0	20
15/11	12.5	20
17/11	15.0	20
20/11	14.2	20
3/12	14.2	20
5/12	14.2	20
7/12	13.3	20
9/12	15.0	20
15/11	12.5	20
17/11	15.0	20
20/11	14.2	20
3/12	14.2	20
5/12	14.2	20
7/12	13.3	20
9/12	15.0	20
15/11	12.5	20
17/11	15.0	20
20/11	14.2	20
3/12	14.2	20
5/12	14.2	20
7/12	13.3	20
9/12	15.0	20
17/11	15.0	20
9/12	15.0	20
17/11	15.0	20
9/12	15.0	20
1/13	14.2	20
3/13	14.2	20
5/13	14.2	20
8/13	14.2	20
9/13	9.2	20
11/13	9.2	20
13/13	9.2	20
15/13	10.0	20
17/13	13.3	20
19/13	14.2	20
21/13	14.2	20
23/13	14.2	20
1/14	15.0	20
3/14	14.2	20
5/14	14.2	20
7/14	14.2	20
9/14	13.3	20
11/14	12.5	20
13/14	10.8	20
15/14	9.2	20
17/14	14.2	20
19/14	14.2	20
21/14	14.2	20
23/14	14.2	20
1/15	14.2	20
3/15	14.2	20
5/15	14.2	20
7/15	14.2	20
9/15	13.3	20
11/15	13.3	20
13/15	10.0	20
15/15	10.0	20
21/15	15.0	20
23/15	14.2	20
1/16	14.2	20
3/16	14.2	20
5/16	14.2	20
7/16	14.2	20
1/13	11.7	20
1/13	11.7	20
3/13	13.3	20
3/13	13.3	20
5/13	13.3	20
5/13	13.3	20
8/13	12.5	20
8/13	12.5	20
9/13	8.3	20
9/13	8.3	20
11/13	8.3	20
11/13	8.3	20
13/13	9.2	20
13/13	9.2	20
15/13	9.2	20
15/13	9.2	20
17/13	12.5	20
17/13	12.5	20
19/13	11.7	20
19/13	11.7	20
21/13	11.7	20
21/13	11.7	20
23/13	12.5	20
23/13	12.5	20
1/14	12.5	20
1/14	12.5	20
3/14	12.5	20
3/14	12.5	20
5/14	11.7	20
5/14	11.7	20
7/14	11.7	20
7/14	11.7	20
9/14	12.5	20
9/14	12.5	20
11/14	12.5	20
11/14	12.5	20
13/14	10.0	20
13/14	10.0	20
15/14	8.3	20
15/14	8.3	20
17/14	11.7	20
17/14	11.7	20
19/14	11.7	20
19/14	11.7	20
21/14	11.7	20
21/14	11.7	20
23/14	11.7	20
23/14	11.7	20
1/15	11.7	20
1/15	11.7	20
3/15	11.7	20
3/15	11.7	20
5/15	12.5	20
5/15	12.5	20
7/15	12.5	20
7/15	12.5	20
9/15	11.7	20
9/15	11.7	20
11/15	12.5	20
11/15	12.5	20
13/15	10.0	20
13/15	10.0	20
15/15	10.0	20
15/15	10.0	20
21/15	11.7	20
21/15	11.7	20
23/15	11.7	20
23/15	11.7	20
1/16	11.7	20
1/16	11.7	20
3/16	11.7	20
3/16	11.7	20
5/16	11.7	20
5/16	11.7	20
7/16	11.7	20
7/16	11.7	20
1/13	10.3	20
3/13	10.3	20
5/13	10.4	20
8/13	10.4	20
9/13	10.2	20
11/13	10.4	20
13/13	10.3	20
15/13	10.4	20
17/13	10.4	20
19/13	10.3	20
21/13	10.3	20
23/13	10.3	20
1/14	10.3	20
3/14	10.3	20
5/14	10.3	20
7/14	10.3	20
9/14	10.3	20
11/14	10.4	20
13/14	9.9	20
15/14	9.8	20
17/14	10.4	20
19/14	10.3	20
21/14	10.4	20
23/14	10.3	20
1/15	10.3	20
3/15	10.3	20
5/15	10.3	20
7/15	10.3	20
9/15	10.4	20
11/15	10.4	20
13/15	9.9	20
15/15	9.9	20
21/15	10.3	20
23/15	10.4	20
1/16	10.3	20
3/16	10.3	20
5/16	10.4	20
7/16	10.3	20
