date	exp	fill_lvl
13/11	10.4	15
15/11	10.5	15
17/11	9.3	15
19/11	10.0	15
21/11	10.1	15
3/12	10.0	15
5/12	10.0	15
7/12	10.1	15
9/12	9.1	15
13/11	14.2	15
17/11	20.0	15
17/11	20.0	15
1/13	25.8	15
3/13	20.7	15
5/13	20.7	15
7/13	22.9	15
9/13	15.0	15
11/13	10.8	15
13/13	9.2	15
15/13	8.3	15
17/13	15.8	15
19/13	28.8	15
21/13	29.2	15
23/13	20.7	15
1/14	22.1	15
3/14	26.7	15
5/14	21.4	15
7/14	21.4	15
9/14	15.0	15
11/14	11.7	15
13/14	8.3	15
15/14	8.3	15
17/14	19.2	15
19/14	22.1	15
21/14	26.3	15
23/14	20.7	15
1/15	22.1	15
3/15	20.7	15
5/15	21.4	15
7/15	25.4	15
9/15	20.0	15
11/15	14.2	15
13/15	11.7	15
15/15	7.5	15
21/15	22.9	15
23/15	26.3	15
1/16	20.0	15
3/16	21.4	15
5/16	20.7	15
7/16	21.4	15
1/13	17.5	15
1/13	17.5	15
3/13	16.7	15
3/13	16.7	15
5/13	17.5	15
5/13	17.5	15
7/13	15.8	15
7/13	15.8	15
9/13	15.0	15
9/13	15.0	15
11/13	8.3	15
11/13	8.3	15
13/13	8.3	15
13/13	8.3	15
15/13	7.5	15
15/13	7.5	15
17/13	12.5	15
17/13	12.5	15
19/13	16.7	15
19/13	16.7	15
21/13	16.7	15
21/13	16.7	15
23/13	16.7	15
23/13	16.7	15
1/14	17.5	15
1/14	17.5	15
3/14	26.7	15
3/14	26.7	15
5/14	17.5	15
5/14	17.5	15
7/14	16.7	15
7/14	16.7	15
9/14	15.0	15
9/14	15.0	15
11/14	10.8	15
11/14	10.8	15
13/14	8.3	15
13/14	8.3	15
15/14	8.3	15
15/14	8.3	15
17/14	19.2	15
17/14	19.2	15
19/14	15.8	15
19/14	15.8	15
21/14	19.2	15
21/14	19.2	15
23/14	16.7	15
23/14	16.7	15
1/15	16.7	15
1/15	16.7	15
3/15	16.7	15
3/15	16.7	15
5/15	16.7	15
5/15	16.7	15
7/15	19.2	15
7/15	19.2	15
9/15	12.5	15
9/15	12.5	15
11/15	14.2	15
11/15	14.2	15
13/15	11.7	15
13/15	11.7	15
15/15	7.5	15
15/15	7.5	15
21/15	18.3	15
21/15	18.3	15
23/15	16.7	15
23/15	16.7	15
1/16	16.7	15
1/16	16.7	15
3/16	27.5	15
3/16	27.5	15
5/16	16.7	15
5/16	16.7	15
7/16	25.0	15
7/16	25.0	15
1/13	6.7	15
3/13	11.7	15
5/13	5.8	15
7/13	13.3	15
9/13	9.8	15
11/13	9.4	15
13/13	9.2	15
15/13	9.2	15
17/13	9.0	15
19/13	20.0	15
21/13	20.7	15
23/13	5.8	15
1/14	5.8	15
3/14	5.0	15
5/14	16.7	15
7/14	6.7	15
9/14	9.1	15
11/14	9.1	15
13/14	8.8	15
15/14	8.8	15
17/14	5.0	15
19/14	19.2	15
21/14	15.0	15
23/14	9.2	15
1/15	6.7	15
3/15	5.8	15
5/15	5.8	15
7/15	20.0	15
9/15	6.7	15
11/15	9.2	15
13/15	8.7	15
15/15	8.6	15
21/15	5.8	15
23/15	6.7	15
1/16	6.7	15
3/16	5.8	15
5/16	8.3	15
7/16	5.8	15
