date	exp	fill_lvl
15/11	90.0	100
17/11	91.4	100
19/11	89.1	100
5/12	90.0	100
7/12	89.1	100
9/12	89.1	100
1/13	89.5	95
3/13	89.5	95
5/13	89.1	95
7/13	89.5	95
9/13	89.1	95
11/13	91.4	95
13/13	89.5	95
15/13	93.2	95
17/13	88.2	95
19/13	92.3	95
21/13	86.4	95
23/13	86.4	95
1/14	86.8	95
3/14	86.4	95
5/14	86.8	95
7/14	87.3	95
9/14	90.5	95
11/14	91.4	95
13/14	90.9	95
15/14	92.3	95
17/14	91.4	95
19/14	86.8	95
21/14	86.4	95
23/14	86.8	95
1/15	86.8	95
3/15	87.3	95
5/15	88.2	95
7/15	86.4	95
9/15	87.7	95
11/15	91.4	95
13/15	92.7	95
15/15	92.3	95
21/15	86.8	95
23/15	87.3	95
1/16	84.0	95
3/16	87.7	95
5/16	86.4	95
7/16	87.3	95
9/16	81.5	95
1/13	89.5	95
1/13	89.5	95
3/13	89.5	95
3/13	89.5	95
5/13	89.1	95
5/13	89.1	95
7/13	89.5	95
7/13	89.5	95
9/13	89.1	95
9/13	89.1	95
11/13	91.4	95
11/13	91.4	95
13/13	89.5	95
13/13	89.5	95
15/13	93.2	95
15/13	93.2	95
17/13	88.2	95
17/13	88.2	95
19/13	92.3	95
19/13	92.3	95
21/13	86.4	95
21/13	86.4	95
23/13	86.4	95
23/13	86.4	95
1/14	86.8	95
1/14	86.8	95
3/14	86.4	95
3/14	86.4	95
5/14	86.8	95
5/14	86.8	95
7/14	87.3	95
7/14	87.3	95
9/14	90.5	95
9/14	90.5	95
11/14	91.4	95
11/14	91.4	95
13/14	90.9	95
13/14	90.9	95
15/14	92.3	95
15/14	92.3	95
17/14	91.4	95
17/14	91.4	95
19/14	86.8	95
19/14	86.8	95
21/14	86.4	95
21/14	86.4	95
23/14	86.8	95
23/14	86.8	95
1/15	86.8	95
1/15	86.8	95
3/15	87.3	95
3/15	87.3	95
5/15	88.2	95
5/15	88.2	95
7/15	86.4	95
7/15	86.4	95
9/15	87.7	95
9/15	87.7	95
11/15	91.4	95
11/15	91.4	95
13/15	92.7	95
13/15	92.7	95
15/15	92.3	95
15/15	92.3	95
21/15	86.8	95
21/15	86.8	95
23/15	87.3	95
23/15	87.3	95
1/16	84.0	95
1/16	84.0	95
3/16	87.7	95
3/16	87.7	95
5/16	86.4	95
5/16	86.4	95
7/16	87.3	95
7/16	87.3	95
9/16	81.5	95
9/16	81.5	95
1/13	83.5	95
3/13	84.0	95
5/13	85.5	95
7/13	85.5	95
9/13	81.5	95
11/13	84.0	95
13/13	82.0	95
15/13	86.4	95
17/13	80.5	95
19/13	85.5	95
21/13	78.5	95
23/13	78.5	95
1/14	79.5	95
3/14	78.5	95
5/14	79.0	95
7/14	79.0	95
9/14	83.0	95
11/14	84.0	95
13/14	83.5	95
15/14	84.5	95
17/14	84.0	95
19/14	79.0	95
21/14	84.0	95
23/14	78.5	95
1/15	79.0	95
3/15	79.5	95
5/15	80.5	95
7/15	82.5	95
9/15	80.0	95
11/15	84.0	95
13/15	85.5	95
15/15	84.5	95
21/15	78.5	95
23/15	79.5	95
1/16	78.5	95
3/16	80.0	95
5/16	78.5	95
7/16	79.0	95
9/16	78.5	95
