date	exp	fill_lvl
16/11	10.8	25
18/11	15.8	25
0/12	15.8	25
4/12	16.7	25
6/12	15.8	25
8/12	15.8	25
16/11	10.8	22
18/11	15.8	22
0/12	15.8	22
4/12	16.7	22
6/12	15.8	22
8/12	15.8	22
16/11	10.8	22
18/11	15.8	22
0/12	15.8	22
4/12	16.7	22
6/12	15.8	22
8/12	15.8	22
16/11	10.8	22
18/11	15.8	22
0/12	15.8	22
4/12	16.7	22
6/12	15.8	22
8/12	15.8	22
0/13	15.8	22
2/13	16.7	22
4/13	16.7	22
6/13	15.0	22
9/13	10.0	22
10/13	5.8	22
12/13	13.3	22
14/13	10.8	22
16/13	19.2	22
18/13	19.2	22
20/13	19.2	22
22/13	19.2	22
0/14	19.2	22
2/14	20.0	22
4/14	16.7	22
6/14	20.0	22
8/14	21.4	22
10/14	15.8	22
13/14	16.7	22
14/14	15.0	22
16/14	15.0	22
18/14	19.2	22
20/14	19.2	22
22/14	20.0	22
0/15	19.2	22
2/15	18.3	22
4/15	18.3	22
6/15	20.0	22
8/15	20.0	22
10/15	15.8	22
12/15	18.3	22
14/15	10.8	22
16/15	13.3	22
20/15	19.2	22
22/15	21.4	22
0/16	19.2	22
2/16	21.4	22
4/16	19.2	22
6/16	19.2	22
8/16	19.2	22
0/13	15.0	22
0/13	15.0	22
2/13	16.7	22
2/13	16.7	22
4/13	15.0	22
4/13	15.0	22
6/13	12.5	22
6/13	12.5	22
9/13	10.0	22
9/13	10.0	22
10/13	5.8	22
10/13	5.8	22
12/13	10.0	22
12/13	10.0	22
14/13	10.8	22
14/13	10.8	22
16/13	19.2	22
16/13	19.2	22
18/13	19.2	22
18/13	19.2	22
20/13	19.2	22
20/13	19.2	22
22/13	19.2	22
22/13	19.2	22
0/14	19.2	22
0/14	19.2	22
2/14	20.0	22
2/14	20.0	22
4/14	16.7	22
4/14	16.7	22
6/14	20.0	22
6/14	20.0	22
8/14	21.4	22
8/14	21.4	22
10/14	15.8	22
10/14	15.8	22
13/14	16.7	22
13/14	16.7	22
14/14	15.0	22
14/14	15.0	22
16/14	15.0	22
16/14	15.0	22
18/14	19.2	22
18/14	19.2	22
20/14	19.2	22
20/14	19.2	22
22/14	20.0	22
22/14	20.0	22
0/15	19.2	22
0/15	19.2	22
2/15	18.3	22
2/15	18.3	22
4/15	18.3	22
4/15	18.3	22
6/15	20.0	22
6/15	20.0	22
8/15	20.0	22
8/15	20.0	22
10/15	15.8	22
10/15	15.8	22
12/15	18.3	22
12/15	18.3	22
14/15	10.8	22
14/15	10.8	22
16/15	13.3	22
16/15	13.3	22
20/15	19.2	22
20/15	19.2	22
22/15	21.4	22
22/15	21.4	22
0/16	19.2	22
0/16	19.2	22
2/16	21.4	22
2/16	21.4	22
4/16	19.2	22
4/16	19.2	22
6/16	19.2	22
6/16	19.2	22
8/16	19.2	22
8/16	19.2	22
0/13	9.4	22
2/13	9.4	22
4/13	9.4	22
6/13	9.4	22
9/13	10.4	22
10/13	9.9	22
12/13	9.9	22
14/13	10.0	22
16/13	9.2	22
18/13	9.2	22
20/13	9.2	22
22/13	9.1	22
0/14	9.2	22
2/14	5.0	22
4/14	9.1	22
6/14	9.1	22
8/14	9.3	22
10/14	9.5	22
13/14	9.7	22
14/14	9.7	22
16/14	9.7	22
18/14	9.1	22
20/14	9.1	22
22/14	9.1	22
0/15	9.1	22
2/15	9.2	22
4/15	9.1	22
6/15	5.0	22
8/15	5.0	22
10/15	9.5	22
12/15	9.5	22
14/15	9.7	22
16/15	9.6	22
20/15	9.1	22
22/15	9.1	22
0/16	9.1	22
2/16	9.1	22
4/16	9.1	22
6/16	9.1	22
8/16	9.2	22
