date	exp	fill_lvl
13/11	9.7	25
15/11	9.5	25
17/11	9.4	25
19/11	8.9	25
23/11	8.9	25
5/12	8.9	25
7/12	8.8	25
9/12	8.9	25
21/15	24.3	25
23/15	25.0	25
1/16	20.0	25
3/16	26.7	25
5/16	25.8	25
1/13	26.3	25
3/13	25.4	25
5/13	26.7	25
7/13	25.0	25
9/13	25.0	25
11/13	14.2	25
13/13	18.3	25
15/13	8.3	25
17/13	25.4	25
19/13	22.1	25
21/13	20.0	25
23/13	27.5	25
1/14	27.5	25
3/14	16.7	25
5/14	15.8	25
7/14	25.4	25
9/14	27.5	25
11/14	25.0	25
13/14	15.8	25
15/14	6.7	25
17/14	12.5	25
19/14	18.3	25
21/14	27.9	25
23/14	25.8	25
1/15	25.4	25
3/15	27.9	25
5/15	24.3	25
7/15	18.3	25
9/15	18.3	25
11/15	17.5	25
13/15	17.5	25
15/15	9.2	25
21/15	24.3	25
23/15	25.0	25
1/16	20.0	25
3/16	26.7	25
5/16	25.8	25
7/16	25.0	25
9/16	26.7	25
1/13	12.5	25
1/13	12.5	25
3/13	10.0	25
3/13	10.0	25
5/13	10.0	25
5/13	10.0	25
7/13	10.8	25
7/13	10.8	25
9/13	10.8	25
9/13	10.8	25
11/13	9.2	25
11/13	9.2	25
13/13	10.0	25
13/13	10.0	25
15/13	8.6	25
15/13	8.6	25
17/13	12.5	25
17/13	12.5	25
19/13	11.7	25
19/13	11.7	25
21/13	10.0	25
21/13	10.0	25
23/13	12.5	25
23/13	12.5	25
1/14	10.0	25
1/14	10.0	25
3/14	10.0	25
3/14	10.0	25
5/14	9.2	25
5/14	9.2	25
7/14	9.2	25
7/14	9.2	25
9/14	9.2	25
9/14	9.2	25
11/14	9.2	25
11/14	9.2	25
13/14	10.0	25
13/14	10.0	25
15/14	8.4	25
15/14	8.4	25
17/14	7.5	25
17/14	7.5	25
19/14	10.0	25
19/14	10.0	25
21/14	10.0	25
21/14	10.0	25
23/14	10.0	25
23/14	10.0	25
1/15	10.0	25
1/15	10.0	25
3/15	11.7	25
3/15	11.7	25
5/15	10.8	25
5/15	10.8	25
7/15	9.2	25
7/15	9.2	25
9/15	11.7	25
9/15	11.7	25
11/15	9.2	25
11/15	9.2	25
13/15	11.7	25
13/15	11.7	25
15/15	5.0	25
15/15	5.0	25
21/15	10.0	25
21/15	10.0	25
23/15	12.5	25
23/15	12.5	25
1/16	10.0	25
1/16	10.0	25
3/16	11.7	25
3/16	11.7	25
5/16	10.8	25
5/16	10.8	25
7/16	10.8	25
7/16	10.8	25
9/16	10.0	25
9/16	10.0	25
1/13	11.7	25
3/13	8.4	25
5/13	8.4	25
7/13	8.4	25
9/13	8.5	25
11/13	9.0	25
13/13	8.8	25
15/13	8.1	25
17/13	8.6	25
19/13	8.4	25
21/13	8.4	25
23/13	8.4	25
1/14	8.4	25
3/14	8.4	25
5/14	8.4	25
7/14	8.4	25
9/14	8.5	25
11/14	9.0	25
13/14	9.0	25
15/14	7.8	25
17/14	8.6	25
19/14	8.4	25
21/14	8.4	25
23/14	8.5	25
1/15	8.5	25
3/15	8.5	25
5/15	8.4	25
7/15	8.4	25
9/15	8.6	25
11/15	9.0	25
13/15	9.0	25
15/15	7.8	25
21/15	8.5	25
23/15	8.4	25
1/16	8.4	25
3/16	8.4	25
5/16	8.4	25
7/16	8.5	25
9/16	8.6	25
