date	exp	fill_lvl
13/11	10.8	15
15/11	10.8	15
17/11	10.8	15
19/11	9.8	15
5/12	9.7	15
7/12	6.7	15
9/12	9.9	15
13/11	5.0	10
15/11	5.0	10
17/11	5.0	10
19/11	5.8	10
5/12	5.8	10
7/12	6.7	10
9/12	5.8	10
13/11	5.0	10
15/11	5.0	10
13/11	5.0	10
15/11	5.0	10
17/11	5.0	10
19/11	5.8	10
5/12	5.8	10
7/12	5.8	10
9/12	5.8	10
5/12	5.8	10
7/12	6.7	10
9/12	5.8	10
13/11	5.0	10
15/11	5.0	10
17/11	5.0	10
1/13	6.7	10
3/13	5.8	10
5/13	5.8	10
7/13	5.8	10
9/13	5.0	10
11/13	5.8	10
13/13	5.0	10
15/13	11.0	10
17/13	5.0	10
19/13	10.6	10
21/13	5.0	10
23/13	9.7	10
1/14	5.0	10
3/14	9.7	10
5/14	5.0	10
7/14	5.0	10
9/14	10.2	10
11/14	10.5	10
13/14	10.7	10
15/14	10.6	10
17/14	10.4	10
19/14	5.0	10
21/14	5.0	10
23/14	5.0	10
1/15	5.8	10
3/15	5.0	10
5/15	9.6	10
7/15	5.0	10
9/15	10.3	10
11/15	10.5	10
13/15	10.6	10
15/15	10.7	10
21/15	9.7	10
23/15	5.0	10
1/16	5.0	10
3/16	5.0	10
5/16	9.7	10
7/16	5.0	10
9/16	10.3	10
1/13	5.0	10
3/13	9.8	10
5/13	9.7	10
7/13	5.0	10
9/13	10.0	10
11/13	5.0	10
13/13	10.2	10
15/13	11.0	10
17/13	10.3	10
19/13	10.6	10
21/13	9.6	10
23/13	9.7	10
1/14	9.7	10
3/14	9.7	10
5/14	9.7	10
7/14	9.7	10
9/14	10.2	10
11/14	10.5	10
13/14	10.7	10
15/14	10.6	10
17/14	10.4	10
19/14	9.6	10
21/14	9.6	10
23/14	9.7	10
1/15	9.6	10
3/15	9.7	10
5/15	9.6	10
7/15	9.6	10
9/15	10.3	10
11/15	10.5	10
13/15	10.6	10
15/15	10.7	10
21/15	9.7	10
23/15	9.6	10
1/16	9.7	10
3/16	9.6	10
5/16	9.7	10
7/16	9.7	10
9/16	10.3	10
1/13	9.0	10
3/13	9.1	10
5/13	9.1	10
7/13	9.0	10
9/13	9.3	10
11/13	10.0	10
13/13	9.4	10
15/13	9.9	10
17/13	9.4	10
19/13	9.7	10
21/13	8.9	10
23/13	8.9	10
1/14	8.9	10
3/14	8.9	10
5/14	8.9	10
7/14	8.9	10
9/14	9.4	10
11/14	9.7	10
13/14	9.8	10
15/14	9.7	10
17/14	9.4	10
19/14	8.9	10
21/14	8.9	10
23/14	8.9	10
1/15	8.9	10
3/15	8.9	10
5/15	8.9	10
7/15	8.9	10
9/15	9.5	10
11/15	9.6	10
13/15	9.8	10
15/15	9.8	10
21/15	8.9	10
23/15	8.9	10
1/16	8.9	10
3/16	8.9	10
5/16	8.9	10
7/16	8.9	10
9/16	9.4	10
