date	exp	fill_lvl
11/11	90.0	100
13/11	91.4	100
15/11	91.4	100
17/11	91.4	100
20/11	85.0	100
21/11	85.9	100
3/12	84.0	100
5/12	85.5	100
7/12	85.0	100
9/12	86.8	100
11/11	90.0	98
13/11	91.4	98
15/11	91.4	98
17/11	91.4	98
20/11	85.0	98
21/11	85.9	98
3/12	84.0	98
5/12	85.5	98
7/12	85.0	98
9/12	86.8	98
1/13	84.5	98
3/13	84.5	98
5/13	82.0	98
9/13	90.5	98
11/13	90.9	98
13/13	88.2	98
15/13	91.4	98
17/13	86.4	98
19/13	85.0	98
21/13	85.5	98
23/13	85.9	98
1/14	85.9	98
3/14	85.5	98
5/14	85.9	98
7/14	86.4	98
9/14	87.7	98
11/14	88.2	98
13/14	88.2	98
15/14	89.5	98
17/14	89.1	98
19/14	86.4	98
21/14	85.9	98
23/14	85.9	98
1/15	85.9	98
3/15	86.4	98
5/15	85.9	98
7/15	85.9	98
9/15	86.4	98
11/15	87.7	98
13/15	88.6	98
15/15	89.5	98
20/15	85.5	98
21/15	85.9	98
23/15	84.5	98
1/16	85.9	98
3/16	85.9	98
5/16	85.9	98
7/16	85.9	98
9/16	86.4	98
1/13	84.5	98
3/13	84.5	98
5/13	82.0	98
9/13	90.5	98
11/13	90.9	98
13/13	88.2	98
15/13	91.4	98
17/13	86.4	98
19/13	85.0	98
21/13	85.5	98
23/13	85.9	98
1/14	85.9	98
3/14	85.5	98
5/14	85.9	98
7/14	86.4	98
9/14	87.7	98
11/14	88.2	98
13/14	88.2	98
15/14	89.5	98
17/14	89.1	98
19/14	86.4	98
21/14	85.9	98
23/14	85.9	98
1/15	85.9	98
3/15	86.4	98
5/15	85.9	98
7/15	85.9	98
9/15	86.4	98
11/15	87.7	98
13/15	88.6	98
15/15	89.5	98
20/15	85.5	98
21/15	85.9	98
23/15	84.5	98
1/16	85.9	98
3/16	85.9	98
5/16	85.9	98
7/16	85.9	98
9/16	86.4	98
1/13	78.0	98
3/13	78.0	98
5/13	78.0	98
9/13	83.0	98
11/13	83.5	98
13/13	95.8	98
15/13	85.5	98
17/13	80.0	98
19/13	78.5	98
21/13	79.0	98
23/13	79.5	98
1/14	95.8	98
3/14	79.0	98
5/14	79.5	98
7/14	96.3	98
9/14	81.5	98
11/14	81.5	98
13/14	83.0	98
15/14	83.5	98
17/14	83.0	98
19/14	80.0	98
21/14	79.5	98
23/14	79.5	98
1/15	79.5	98
3/15	80.0	98
5/15	96.3	98
7/15	79.5	98
9/15	97.1	98
11/15	81.5	98
13/15	82.5	98
15/15	83.5	98
20/15	95.4	98
21/15	80.5	98
23/15	95.0	98
1/16	81.0	98
3/16	79.0	98
5/16	79.5	98
7/16	79.5	98
9/16	97.1	98
