date	exp	fill_lvl
13/11	9.1	15
15/11	5.8	15
17/11	9.0	15
19/11	7.5	15
2/12	22.1	15
5/12	22.9	15
7/12	9.2	15
9/12	10.0	15
15/11	6.7	17
19/11	8.3	17
2/12	20.0	17
5/12	23.6	17
7/12	10.0	17
9/12	10.8	17
15/11	9.2	17
19/11	6.7	17
2/12	11.7	17
5/12	10.8	17
7/12	8.3	17
9/12	9.2	17
2/12	20.0	17
1/13	9.2	17
3/13	10.8	17
5/13	8.3	17
7/13	22.9	17
9/13	9.2	17
11/13	9.2	17
13/13	5.0	17
15/13	5.8	17
17/13	10.8	17
19/13	9.2	17
21/13	8.3	17
23/13	10.0	17
1/14	10.0	17
3/14	10.8	17
5/14	9.2	17
7/14	8.3	17
9/14	10.0	17
11/14	5.8	17
13/14	5.8	17
15/14	5.8	17
17/14	5.8	17
19/14	10.8	17
21/14	10.8	17
23/14	6.7	17
1/15	15.8	17
3/15	8.3	17
5/15	6.7	17
7/15	5.8	17
9/15	8.3	17
11/15	10.0	17
13/15	5.8	17
15/15	9.2	17
21/15	10.0	17
23/15	10.0	17
1/16	10.0	17
3/16	8.3	17
5/16	10.0	17
7/16	10.0	17
9/16	7.5	17
1/13	9.0	17
3/13	9.0	17
5/13	8.9	17
7/13	5.0	17
9/13	8.9	17
11/13	9.2	17
13/13	9.0	17
15/13	9.1	17
17/13	8.9	17
19/13	5.0	17
21/13	9.0	17
23/13	8.9	17
1/14	8.9	17
3/14	8.9	17
5/14	8.9	17
7/14	9.0	17
9/14	9.2	17
11/14	8.9	17
13/14	8.9	17
15/14	8.3	17
15/14	8.3	17
17/14	8.3	17
19/14	8.9	17
21/14	9.0	17
23/14	8.9	17
1/15	9.0	17
3/15	9.0	17
5/15	9.0	17
7/15	9.0	17
9/15	9.0	17
11/15	9.0	17
13/15	8.9	17
15/15	8.3	17
21/15	8.9	17
23/15	5.0	17
1/16	9.0	17
3/16	9.0	17
5/16	5.8	17
7/16	9.0	17
9/16	8.9	17
1/13	8.4	17
3/13	8.5	17
5/13	8.4	17
7/13	8.4	17
9/13	8.3	17
11/13	7.0	17
13/13	8.3	17
15/13	6.9	17
17/13	8.4	17
19/13	8.5	17
21/13	8.4	17
23/13	8.5	17
1/14	8.4	17
3/14	8.4	17
5/14	8.5	17
7/14	8.4	17
9/14	8.7	17
11/14	8.3	17
13/14	8.3	17
15/14	7.7	17
17/14	7.7	17
19/14	8.4	17
21/14	8.4	17
23/14	8.4	17
1/15	8.5	17
3/15	8.4	17
5/15	8.4	17
7/15	8.4	17
9/15	8.4	17
11/15	8.3	17
13/15	8.3	17
15/15	7.8	17
21/15	8.4	17
23/15	8.4	17
1/16	8.5	17
3/16	8.5	17
5/16	8.4	17
7/16	8.4	17
9/16	8.4	17
