date	exp	fill_lvl
14/11	28.3	50
16/11	28.3	50
18/11	31.4	50
22/11	31.4	50
4/12	30.7	50
4/12	30.7	50
6/12	30.7	50
8/12	30.0	50
18/11	31.4	44
22/11	31.4	44
4/12	30.7	44
4/12	30.7	44
6/12	30.7	44
8/12	30.0	44
0/13	30.7	44
2/13	30.7	44
4/13	30.7	44
6/13	30.0	44
8/13	29.6	44
11/13	27.9	44
12/13	28.8	44
14/13	25.4	44
16/13	29.6	44
18/13	29.6	44
20/13	30.0	44
22/13	30.0	44
0/14	31.4	44
2/14	30.0	44
4/14	30.7	44
6/14	30.0	44
8/14	29.6	44
10/14	29.2	44
12/14	29.6	44
14/14	25.8	44
16/14	26.7	44
18/14	30.7	44
20/14	31.4	44
22/14	30.7	44
0/15	30.7	44
2/15	30.0	44
4/15	31.4	44
6/15	29.6	44
8/15	29.6	44
10/15	29.2	44
12/15	29.6	44
14/15	26.3	44
16/15	26.7	44
20/15	30.0	44
22/15	29.6	44
0/16	30.7	44
2/16	30.7	44
4/16	30.0	44
6/16	30.7	44
8/16	30.0	44
0/13	30.7	44
2/13	30.7	44
4/13	30.7	44
6/13	30.0	44
8/13	29.6	44
11/13	27.9	44
12/13	28.8	44
14/13	25.4	44
16/13	29.6	44
18/13	29.6	44
20/13	30.0	44
22/13	30.0	44
0/14	31.4	44
2/14	30.0	44
4/14	30.7	44
6/14	30.0	44
8/14	29.6	44
10/14	29.2	44
12/14	29.6	44
14/14	25.8	44
16/14	26.7	44
18/14	30.7	44
20/14	31.4	44
22/14	30.7	44
0/15	30.7	44
2/15	30.0	44
4/15	31.4	44
6/15	29.6	44
8/15	29.6	44
10/15	29.2	44
12/15	29.6	44
14/15	26.3	44
16/15	26.7	44
20/15	30.0	44
22/15	29.6	44
0/16	30.7	44
2/16	30.7	44
4/16	30.0	44
6/16	30.7	44
8/16	30.0	44
0/13	22.1	44
2/13	22.9	44
4/13	22.1	44
6/13	21.4	44
8/13	21.4	44
11/13	18.3	44
12/13	20.0	44
14/13	13.3	44
16/13	21.4	44
18/13	22.1	44
20/13	21.4	44
22/13	22.1	44
0/14	23.6	44
2/14	22.1	44
4/14	22.1	44
6/14	21.4	44
8/14	21.4	44
10/14	20.7	44
12/14	21.4	44
14/14	14.2	44
16/14	15.8	44
18/14	22.9	44
20/14	23.6	44
22/14	22.9	44
0/15	22.9	44
2/15	22.1	44
4/15	23.6	44
6/15	21.4	44
8/15	21.4	44
10/15	20.7	44
12/15	21.4	44
14/15	15.0	44
16/15	15.8	44
20/15	22.1	44
22/15	21.4	44
0/16	22.9	44
2/16	23.6	44
4/16	21.4	44
6/16	22.9	44
8/16	22.9	44
